Source,StartRun-EndRun,PhysicsRun
Ge68,9497-9577,9737
Ge68,10735-10847,10851
Cs137,9598-9602,9737
Mn54,9618-9624,9737
Co60,9589-9593,9737
K40,9632-9632,9737
AmC117,9607-9611,9737
AmC117,10104-10110,10100
AmC117,10394-10400,10404
AmC117,10858-10862,10867
AmC117,10974-10976,10980
Ge68,11959-12039,12042
Cs137,12110-12126,12129
Mn54,12090-12106,12084
Co60,12061-12077,12080
AmC117,11123-11142,11136
AmC117,11302-11306,11292
AmC117,11381-11385,11378
AmC117,11556-11576,11579
Ge68,12325-12414,12419
Cs137,12287-12303,12306
Mn54,12235-12255,12258
Co60,12208-12226,12204
AmC117,12267-12283,12263
AmC117,12576-12576,12581
AmC117,13063-13085,13089
AmC117,13152-13156,13163
Ge68,14091-14091,14096
Ge68,14373-14453,14365
Ge68,14529-14629,14633
Cs137,13894-13894,13898
Mn54,14083-14083,14096
Co60,14087-14087,14079
AmC117,13535-13535,13539
AmC117,13642-13642,13648
AmC117,13744-13744,13748
AmC117,13880-13890,13886
AmC117,13985-13985,13982
AmC117,14213-14213,14220
AmC117,14457-14471,14475
AmC117,14729-14729,14737
AmC117,14834-14834,14846
AmC117,14943-14943,14950
AmC117,15151-15151,15156
