RUN,Date,X[m],Y[m],Z[m],Source,R[m]
9497,2025-08-24,0.0,0.0,18.4,Ge68,18.4
9499,2025-08-24,0.0,0.0,18.0,Ge68,18.0
9501,2025-08-24,0.0,0.0,17.7,Ge68,17.7
9503,2025-08-24,0.0,0.0,17.5,Ge68,17.5
9505,2025-08-24,0.0,0.0,17.3,Ge68,17.3
9507,2025-08-24,0.0,0.0,17.1,Ge68,17.1
9509,2025-08-24,0.0,0.0,16.9,Ge68,16.9
9511,2025-08-24,0.0,0.0,16.7,Ge68,16.7
9513,2025-08-24,0.0,0.0,16.5,Ge68,16.5
9515,2025-08-24,0.0,0.0,16.3,Ge68,16.3
9517,2025-08-24,0.0,0.0,16.1,Ge68,16.1
9519,2025-08-24,0.0,0.0,15.9,Ge68,15.9
9521,2025-08-24,0.0,0.0,15.7,Ge68,15.7
9523,2025-08-24,0.0,0.0,15.5,Ge68,15.5
9525,2025-08-24,0.0,0.0,15.0,Ge68,15.0
9527,2025-08-24,0.0,0.0,14.0,Ge68,14.0
9529,2025-08-24,0.0,0.0,13.0,Ge68,13.0
9531,2025-08-24,0.0,0.0,11.0,Ge68,11.0
9533,2025-08-24,0.0,0.0,9.0,Ge68,9.0
9535,2025-08-24,0.0,0.0,6.0,Ge68,6.0
9537,2025-08-24,0.0,0.0,3.0,Ge68,3.0
9539,2025-08-24,0.0,0.0,1.0,Ge68,1.0
9541,2025-08-24,0.0,0.0,0.0,Ge68,0.0
9543,2025-08-24,0.0,0.0,-1.0,Ge68,1.0
9545,2025-08-24,0.0,0.0,-3.0,Ge68,3.0
9547,2025-08-24,0.0,0.0,-6.0,Ge68,6.0
9549,2025-08-24,0.0,0.0,-9.0,Ge68,9.0
9551,2025-08-24,0.0,0.0,-11.0,Ge68,11.0
9553,2025-08-24,0.0,0.0,-13.0,Ge68,13.0
9555,2025-08-24,0.0,0.0,-14.0,Ge68,14.0
9557,2025-08-24,0.0,0.0,-15.0,Ge68,15.0
9559,2025-08-24,0.0,0.0,-15.5,Ge68,15.5
9561,2025-08-24,0.0,0.0,-15.7,Ge68,15.7
9563,2025-08-24,0.0,0.0,-15.9,Ge68,15.9
9565,2025-08-24,0.0,0.0,-16.1,Ge68,16.1
9567,2025-08-24,0.0,0.0,-16.3,Ge68,16.3
9569,2025-08-24,0.0,0.0,-16.5,Ge68,16.5
9571,2025-08-24,0.0,0.0,-16.7,Ge68,16.7
9573,2025-08-24,0.0,0.0,-16.9,Ge68,16.9
9575,2025-08-24,0.0,0.0,-17.1,Ge68,17.1
9577,2025-08-24,0.0,0.0,-17.3,Ge68,17.3
9589,2025-08-24,0.0,0.0,14.0,Co60,14.0
9591,2025-08-24,0.0,0.0,0.0,Co60,0.0
9593,2025-08-25,0.0,0.0,-14.0,Co60,14.0
9598,2025-08-25,0.0,0.0,14.0,Cs137,14.0
9600,2025-08-25,0.0,0.0,0.0,Cs137,0.0
9602,2025-08-25,0.0,0.0,-14.0,Cs137,14.0
9607,2025-08-25,0.0,0.0,14.0,AmC117,14.0
9609,2025-08-25,0.0,0.0,0.0,AmC117,0.0
