r_reco_mm,merged_smooth_bias_r_rec_minus_r_true_mm
0.0,0.0
8.854427213606805,-1.2570175185991563
17.70885442721361,-1.6328619800274762
26.56328164082041,-2.00227780540072
35.41770885442722,-2.3653289269467095
44.27213606803402,-2.722079276893265
53.12656328164082,-3.0725927874682095
61.980990495247624,-3.4169333908993638
70.83541770885444,-3.7551650194145494
79.68984492246123,-4.087351605241587
88.54427213606805,-4.413557080608298
97.39869934967486,-4.733845377742505
106.25312656328164,-5.048280428872029
115.10755377688844,-5.35692616622469
123.96198099049525,-5.659846522028313
132.81640820410206,-5.957105428510714
141.67083541770887,-6.248766817899718
150.52526263131566,-6.534894622423148
159.37968984492247,-6.815552774308823
168.23411705852928,-7.090805205784565
177.0885442721361,-7.360715849078193
185.94297148574287,-7.625348636417532
194.7973986993497,-7.884767500030402
203.6518259129565,-8.139036372144625
212.50625312656328,-8.388219184988019
221.3606803401701,-8.63237987078841
230.21510755377687,-8.87158236177362
239.06953476738371,-9.105890590171466
247.9239619809905,-9.33536848820977
256.7783891945973,-9.560079988116355
265.6328164082041,-9.780089022119045
274.48724362181093,-9.995459522445659
283.34167083541774,-10.206255421324014
292.1960980490245,-10.41254065098194
301.0505252626313,-10.61437914364725
309.9049524762381,-10.811834831547772
318.75937968984493,-11.004971646911326
327.61380690345175,-11.193853521965732
336.46823411705856,-11.37854438893881
345.32266133066537,-11.55910818005838
354.1770885442722,-11.735608827552275
363.03151575787894,-11.908110263648302
371.88594297148575,-12.076676420574293
380.74037018509256,-12.241371230558057
389.5947973986994,-12.402258625827429
398.4492246123062,-12.559402538610225
407.303651825913,-12.712866901134264
416.1580790395198,-12.86271564562737
425.01250625312656,-13.009012704317362
433.86693346673337,-13.151822009432067
442.7213606803402,-13.2912074931993
451.575787893947,-13.427233087846885
460.43021510755375,-13.559962725602643
469.2846423211606,-13.6894603386944
478.13906953476743,-13.815789859349971
486.99349674837424,-13.93901521979718
495.847923961981,-14.059200352263847
504.7023511755878,-14.176409188977797
513.5567783891946,-14.29070566216685
522.4112056028014,-14.402153704058826
531.2656328164082,-14.510817246881544
540.120060030015,-14.616760222862826
548.9744872436219,-14.720046564230502
557.8289144572286,-14.820740203212385
566.6833416708355,-14.918905072036301
575.5377688844424,-15.014605102930066
584.392196098049,-15.1079042281215
593.2466233116559,-15.198866379838437
602.1010505252626,-15.287555490308685
610.9554777388695,-15.374035491760077
619.8099049524762,-15.458370316420423
628.6643321660831,-15.54062389651755
637.5187593796899,-15.620860164279277
646.3731865932966,-15.699143051933435
655.2276138069035,-15.77553649170783
664.0820410205102,-15.850104415830295
672.9364682341171,-15.922910756528648
681.7908954477239,-15.99401944603071
690.6453226613307,-16.063494416564296
699.4997498749375,-16.131399600357245
708.3541770885444,-16.197798929637354
717.2086043021511,-16.26275633663247
726.0630315157579,-16.326335753570397
734.9174587293647,-16.388601112678966
743.7718859429715,-16.449616346185987
752.6263131565784,-16.509445386319292
761.4807403701851,-16.5681521653067
770.335167583792,-16.625800615376033
779.1895947973989,-16.6824546687551
788.0440220110055,-16.738178257671745
796.8984492246124,-16.793035314353766
805.7528764382191,-16.84708977102901
814.607303651826,-16.90040555992528
823.4617308654327,-16.95304661327039
832.3161580790396,-17.005076863292192
841.1705852926464,-17.056560242218477
850.0250125062531,-17.107560682277075
858.87943971986,-17.15814211569582
867.7338669334667,-17.20836847470252
876.5882941470736,-17.258303691525004
885.4427213606804,-17.30801169839108
894.2971485742872,-17.357556427528586
903.151575787894,-17.407001811165333
912.0060030015009,-17.456411781529155
920.8604302151075,-17.505850270847855
929.7148574287144,-17.55538121134927
938.5692846423212,-17.605068535261207
947.423711855928,-17.654976174811505
956.2781390695349,-17.70516806222797
965.1325662831416,-17.755708129738426
973.9869934967485,-17.80662251714026
982.8414207103552,-17.85749894999718
991.695847923962,-17.908207363406483
1000.5502751375687,-17.958747245334436
1009.4047023511756,-18.009118083747314
1018.2591295647825,-18.05931936661136
1027.1135567783892,-18.109350581892837
1035.9679839919959,-18.159211217558
1044.8224112056027,-18.20890076157312
1053.6768384192096,-18.258418701904453
1062.5312656328165,-18.307764526518255
1071.3856928464234,-18.35693772338079
1080.24012006003,-18.405937780458313
1089.0945472736369,-18.45476418571709
1097.9489744872437,-18.50341642712338
1106.8034017008506,-18.55189399264344
1115.6578289144572,-18.600196370243527
1124.512256128064,-18.648323047889907
1133.366683341671,-18.696273513548835
1142.2211105552778,-18.744047255186576
1151.0755377688847,-18.791643760769386
1159.9299649824911,-18.83906251826352
1168.784392196098,-18.88630301563525
1177.6388194097049,-18.933364740850834
1186.4932466233117,-18.980247181876518
1195.3476738369184,-19.02694982667857
1204.2021010505252,-19.07347216322326
1213.056528264132,-19.119813679476835
1221.910955477739,-19.165973863405558
1230.7653826913458,-19.21195220297569
1239.6198099049525,-19.25774818615349
1248.4742371185594,-19.30336130090522
1257.3286643321662,-19.348791035197138
1266.183091545773,-19.394036876995504
1275.0375187593797,-19.439098314266577
1283.8919459729866,-19.483974834976614
1292.7463731865932,-19.528665927091883
1301.6008004002001,-19.57317107857864
1310.455227613807,-19.61748977740314
1319.3096548274136,-19.66162151153165
1328.1640820410205,-19.705565768930427
1337.0185092546274,-19.749322037565733
1345.8729364682342,-19.79288980540382
1354.727363681841,-19.836268560410957
1363.5817908954477,-19.879457790553396
1372.4362181090546,-19.92245698379741
1381.2906453226615,-19.965265628109243
1390.1450725362683,-20.007883211455162
1398.999499749875,-20.050309221801427
1407.8539269634819,-20.092543147114302
1416.7083541770887,-20.13458447536004
1425.5627813906954,-20.176432694504904
1434.4172086043022,-20.218087292515154
1443.2716358179089,-20.259547757357044
1452.1260630315157,-20.300813576996845
1460.9804902451226,-20.341884239400805
1469.8349174587295,-20.38275923253519
1478.6893446723361,-20.423438044366264
1487.543771885943,-20.463920162860276
1496.3981990995499,-20.504205075983496
1505.2526263131567,-20.544292271702183
1514.1070535267636,-20.584181237982584
1522.9614807403702,-20.623871462790976
1531.815907953977,-20.663362434093614
1540.670335167584,-20.702653639856752
1549.5247623811908,-20.741744568046652
1558.3791895947977,-20.780634706629574
1567.2336168084041,-20.81932354357178
1576.088044022011,-20.857810566839532
1584.9424712356179,-20.896095264399083
1593.7968984492247,-20.9341771242167
1602.6513256628314,-20.97205563425863
1611.5057528764382,-21.00973028249115
1620.360180090045,-21.04720055688051
1629.214607303652,-21.084465945392974
1638.0690345172588,-21.121525935994796
1646.9234617308655,-21.15838001665224
1655.7778889444724,-21.19502767533157
1664.6323161580792,-21.231468399999038
1673.486743371686,-21.267701678620906
1682.3411705852927,-21.303726999163434
1691.1955977988996,-21.33954384959289
1700.0500250125062,-21.375151717875518
1708.904452226113,-21.41055009197759
1717.75887943972,-21.44573845986536
1726.6133066533266,-21.480716309505095
1735.4677338669335,-21.515483128863046
1744.3221610805404,-21.55003840590548
1753.1765882941472,-21.584381628598653
1762.0310155077539,-21.618512284908817
1770.8854427213607,-21.652429862802254
1779.7398699349676,-21.686133850245202
1788.5942971485745,-21.71962373520393
1797.4487243621813,-21.752899005644696
1806.303151575788,-21.78595914953376
1815.1575787893948,-21.81880365483739
1824.0120060030017,-21.851432009521833
1832.8664332166086,-21.883843701553353
1841.720860430215,-21.916038218898212
1850.5752876438219,-21.94801504952267
1859.4297148574287,-21.979773681392984
1868.2841420710356,-22.011313602475422
1877.1385692846425,-22.042634300736232
1885.992996498249,-22.07373526414168
1894.847423711856,-22.10461598065803
1903.7018509254628,-22.13527593825153
1912.5562781390697,-22.165714624888448
1921.4107053526766,-22.195931528535045
1930.2651325662832,-22.22592613715758
1939.11955977989,-22.25569793872231
1947.973986993497,-22.285246421195495
1956.8284142071038,-22.3145710725434
1965.6828414207105,-22.343671380732278
1974.5372686343171,-22.372546833728393
1983.391695847924,-22.401196919498005
1992.2461230615309,-22.42962112600737
2001.1005502751375,-22.45781894122275
2009.9549774887446,-22.485789853110408
2018.8094047023512,-22.5135333496366
2027.6638319159579,-22.541048918767583
2036.518259129565,-22.568336048469625
2045.3726863431716,-22.595394226708983
2054.2271135567785,-22.622222941451913
2063.0815407703853,-22.64882168066468
2071.9359679839918,-22.675189932313536
2080.790395197599,-22.701327184364754
2089.6448224112055,-22.727232924784577
2098.499249624813,-22.75290664153928
2107.3536768384192,-22.778347822595116
2116.208104052026,-22.80355595591834
2125.062531265633,-22.828530529475227
2133.91695847924,-22.853271031232023
2142.7713856928467,-22.877776949154985
2151.6258129064536,-22.902047771210388
2160.48024012006,-22.926082985364484
2169.3346673336673,-22.949882079583528
2178.1890945472737,-22.97344454183379
2187.04352176088,-22.996769860081518
2195.8979489744875,-23.01985752229298
2204.752376188094,-23.042707016434438
2213.606803401701,-23.065317830472143
2222.4612306153076,-23.087689452372363
2231.3156578289145,-23.10982137010135
2240.1700850425214,-23.131713071625374
2249.024512256128,-23.15336404491068
2257.878939469735,-23.17477377792355
2266.733366683342,-23.195941758630227
2275.5877938969484,-23.21686747499697
2284.4422211105557,-23.237550414990046
2293.296648324162,-23.25799006657571
2302.1510755377694,-23.278185917720233
2311.005502751376,-23.298137456389856
2319.8599299649823,-23.317844170550853
2328.7143571785896,-23.337305548169486
2337.568784392196,-23.356521077211998
2346.4232116058033,-23.375490245644663
2355.2776388194097,-23.39421254143374
2364.1320660330166,-23.41268745254548
2372.9864932466235,-23.43091446694616
2381.8409204602303,-23.44889307260202
2390.6953476738367,-23.46662275747933
2399.549774887444,-23.484103009544356
2408.4042021010505,-23.50133331676334
2417.258629314658,-23.51831316710256
2426.113056528264,-23.535042048528265
2434.967483741871,-23.55151944900672
2443.821910955478,-23.56774485650418
2452.6763381690844,-23.583717758986907
2461.5307653826917,-23.599437644421165
2470.385192596298,-23.614904000773212
2479.239619809905,-23.6301163160093
2488.094047023512,-23.645074078095703
2496.9484742371187,-23.659776774998665
2505.8029014507256,-23.67422389468446
2514.6573286643325,-23.68841492511934
2523.511755877939,-23.70234935426956
2532.366183091546,-23.7160266701014
2541.2206103051526,-23.729446360581093
2550.0750375187595,-23.742607913674917
2558.9294647323663,-23.75551081734913
2567.783891945973,-23.768154559569986
2576.63831915958,-23.780538628303745
2585.4927463731865,-23.792662511516674
2594.3471735867934,-23.804525697175027
